"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V39" "V40" "V41" "V42" "V43" "V44" "V46"
"19" 0.633595 0.564157268 0.622914481 0.68353177 0.603655612 0.610985691 0.492948127 0.58531867 0.542495922 0.495815388 0.678627971 0.60857632 0.501216363 0.693933028 0.62342078 0.667382462 0.61609899 0 0.636509757 0.688382951 0.567165399 0.676560227 0.332017049 0.61493533 0.426756694 0.608628609 0.294002821 0.589375944 0.593970242 0.63655594 0.636088663 0.543256191 0.435868964 0.631646765 0.492371493 0.725169609 0.566832979 0.691889871 0.551590024 0.643150877 0.634395477 0.673105614 0.701582732
"20" 0.627383733 0.64390075 0.483847101 0.604189214 0.68852514 0.722541934 0.664400165 0.695281879 0.54774738 0.726975903 0.642849794 0.63880633 0.481428717 0.710000151 0.630796299 0.685157773 0.647908672 0.636509757 0 0.655242925 0.328013711 0.586943396 0.664674796 0.670154537 0.620173201 0.691295872 0.661349407 0.766948485 0.269357737 0.075816817 0.634976277 0.580866434 0.502782517 0.589361846 0.662386346 0.326845217 0.337786775 0.690024851 0.687165411 0.470221961 0.695614288 0.692947873 0.662739426
"21" 0.574596052 0.586296559 0.744502487 0.374761071 0.452728663 0.699493685 0.606356479 0.548865064 0.602002383 0.669271815 0.1033281 0.591039586 0.728938647 0.74628535 0.566432587 0.656646689 0.560838588 0.688382951 0.655242925 0 0.707799458 0.287150759 0.648841315 0.547247065 0.730445237 0.540511917 0.698081268 0.746395568 0.694230216 0.660544632 0.457871347 0.649740013 0.687845695 0.447234626 0.698811983 0.716166287 0.707656361 0.418861273 0.483074175 0.771907384 0.673456843 0.62066819 0.250672517
"22" 0.707302105 0.572184099 0.479807866 0.661080955 0.662122995 0.661471923 0.574619977 0.637070307 0.467003229 0.643465445 0.695575586 0.670430647 0.308525935 0.644004206 0.698853915 0.611434075 0.60410568 0.567165399 0.328013711 0.707799458 0 0.641022523 0.622722977 0.627762658 0.582002616 0.655656449 0.57877513 0.69318309 0.190228428 0.314730826 0.685024257 0.602522766 0.436765421 0.642449994 0.580911595 0.508506871 0.102038954 0.682882924 0.653137822 0.316865375 0.665389709 0.697521648 0.723997779
"23" 0.630655293 0.638053183 0.71991849 0.266598006 0.451276021 0.689590635 0.651938807 0.529173674 0.637801126 0.650558509 0.255100941 0.58953041 0.666986778 0.70733013 0.619655554 0.606528357 0.464729513 0.676560227 0.586943396 0.287150759 0.641022523 0 0.627547981 0.457782504 0.665261729 0.520354669 0.695718282 0.740063438 0.633806349 0.58623814 0.450474624 0.637281995 0.672669899 0.363820481 0.697527633 0.670992351 0.640049728 0.473424674 0.457324883 0.719660418 0.627970386 0.666330471 0.29969578
"24" 0.685132964 0.632464112 0.689323981 0.646981996 0.532448763 0.560551616 0.589868751 0.542442371 0.500746013 0.586046785 0.637215744 0.67194122 0.605111898 0.765286636 0.668254785 0.65592971 0.518164279 0.332017049 0.664674796 0.648841315 0.622722977 0.627547981 0 0.535371027 0.474863389 0.518068392 0.463616378 0.576117792 0.6288815 0.653972666 0.575562928 0.599668768 0.469662876 0.577288786 0.600701711 0.774675878 0.627643867 0.675440135 0.449299457 0.724920316 0.579268381 0.761093775 0.6779735
"25" 0.758023145 0.681764814 0.774980067 0.463021553 0.485904599 0.626687931 0.638256946 0.437007392 0.571861262 0.717449554 0.530756 0.758480683 0.603353367 0.762643812 0.740537092 0.659854327 0.301656282 0.61493533 0.670154537 0.547247065 0.627762658 0.457782504 0.535371027 0 0.602872614 0.399854029 0.694270139 0.739822774 0.633932635 0.664819732 0.486588071 0.653278737 0.641664681 0.311171614 0.696494364 0.756015005 0.613968437 0.612362897 0.40592196 0.719593961 0.469463873 0.775847002 0.571364455
"26" 0.591134117 0.649487015 0.684989561 0.680406916 0.693318969 0.647326233 0.607326091 0.699985089 0.622307485 0.565238715 0.715946675 0.651787995 0.557126373 0.634712588 0.576325657 0.698336885 0.591852099 0.426756694 0.620173201 0.730445237 0.582002616 0.665261729 0.474863389 0.602872614 0 0.69097125 0.540045065 0.656240444 0.577107969 0.613955619 0.713383865 0.674816654 0.569731296 0.619343781 0.669224983 0.727653408 0.590060962 0.762433901 0.640129528 0.593196027 0.526842145 0.69717252 0.735489344
"27" 0.749758105 0.606262675 0.714585091 0.544082231 0.278054347 0.472401118 0.674420106 0.161667809 0.60658457 0.677277809 0.530469027 0.692862904 0.690197517 0.726426832 0.73604477 0.680856394 0.453300971 0.608628609 0.691295872 0.540511917 0.655656449 0.520354669 0.518068392 0.399854029 0.69097125 0 0.574731139 0.60971529 0.660676517 0.681588239 0.274281489 0.522108905 0.585930661 0.451525268 0.576049663 0.792309846 0.663940671 0.510251221 0.365963076 0.747317042 0.617409817 0.777933464 0.582439145
"28" 0.648723692 0.488889721 0.621676031 0.701717778 0.562197847 0.552615341 0.558576906 0.530805901 0.612407212 0.502551522 0.694683624 0.606394472 0.567621065 0.615105229 0.63998777 0.657525295 0.693748726 0.294002821 0.661349407 0.698081268 0.57877513 0.695718282 0.463616378 0.694270139 0.540045065 0.574731139 0 0.509630461 0.62141954 0.661900321 0.59850965 0.478462156 0.47813097 0.692259793 0.393165555 0.745882357 0.585363144 0.632738398 0.631096444 0.637703079 0.707355383 0.662999851 0.722220092
